source,filename,file_size_bytes,read_success,error,dimensions,time_count,first_time,last_time,duplicate_time_count,lat_min,lat_max,lat_resolutions,lon_min,lon_max,lon_resolutions,forecast_hours,data_variables
CFSR,pgbh06.gdas.20000601-20000605.grb2.nc.gz,9267,True,,time=20;lat=11;lon=11,20,2000-06-01 06:00:00,2000-06-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000606-20000610.grb2.nc.gz,9177,True,,time=20;lat=11;lon=11,20,2000-06-06 06:00:00,2000-06-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000611-20000615.grb2.nc.gz,9443,True,,time=20;lat=11;lon=11,20,2000-06-11 06:00:00,2000-06-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000616-20000620.grb2.nc.gz,9468,True,,time=20;lat=11;lon=11,20,2000-06-16 06:00:00,2000-06-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000621-20000625.grb2.nc.gz,9315,True,,time=20;lat=11;lon=11,20,2000-06-21 06:00:00,2000-06-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000626-20000630.grb2.nc.gz,9400,True,,time=20;lat=11;lon=11,20,2000-06-26 06:00:00,2000-07-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000701-20000705.grb2.nc.gz,9436,True,,time=20;lat=11;lon=11,20,2000-07-01 06:00:00,2000-07-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000706-20000710.grb2.nc.gz,9301,True,,time=20;lat=11;lon=11,20,2000-07-06 06:00:00,2000-07-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000711-20000715.grb2.nc.gz,9464,True,,time=20;lat=11;lon=11,20,2000-07-11 06:00:00,2000-07-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000716-20000720.grb2.nc.gz,9573,True,,time=20;lat=11;lon=11,20,2000-07-16 06:00:00,2000-07-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
