source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSR,ipvh06.gdas.20101116-20101120.grb2.nc.gz,20,20,1,2010-11-16 06:00:00,2010-11-21,6545.0
CFSR,ipvh06.gdas.20101121-20101125.grb2.nc.gz,20,20,1,2010-11-21 06:00:00,2010-11-26,6550.0
CFSR,ipvh06.gdas.20101126-20101130.grb2.nc.gz,20,20,1,2010-11-26 06:00:00,2010-12-01,6545.0
CFSR,ipvh06.gdas.20101201-20101205.grb2.nc.gz,20,20,1,2010-12-01 06:00:00,2010-12-06,6534.0
CFSR,ipvh06.gdas.20101206-20101210.grb2.nc.gz,20,20,1,2010-12-06 06:00:00,2010-12-11,6512.0
CFSR,ipvh06.gdas.20101211-20101215.grb2.nc.gz,20,20,1,2010-12-11 06:00:00,2010-12-16,6586.0
CFSR,ipvh06.gdas.20101216-20101220.grb2.nc.gz,20,20,1,2010-12-16 06:00:00,2010-12-21,6474.0
CFSR,ipvh06.gdas.20101221-20101225.grb2.nc.gz,20,20,1,2010-12-21 06:00:00,2010-12-26,6516.0
CFSR,pgbh06.gdas.20100101-20100105.grb2.nc.gz,20,20,1,2010-01-01 06:00:00,2010-01-06,4586.0
CFSR,pgbh06.gdas.20100106-20100110.grb2.nc.gz,20,20,1,2010-01-06 06:00:00,2010-01-11,4531.0
CFSR,pgbh06.gdas.20100111-20100115.grb2.nc.gz,20,20,1,2010-01-11 06:00:00,2010-01-16,4561.0
CFSR,pgbh06.gdas.20100116-20100120.grb2.nc.gz,20,20,1,2010-01-16 06:00:00,2010-01-21,4558.0
CFSR,pgbh06.gdas.20100121-20100125.grb2.nc.gz,20,20,1,2010-01-21 06:00:00,2010-01-26,4506.0
CFSR,pgbh06.gdas.20100201-20100205.grb2.nc.gz,20,20,1,2010-02-01 06:00:00,2010-02-06,4469.0
CFSR,pgbh06.gdas.20100206-20100210.grb2.nc.gz,20,20,1,2010-02-06 06:00:00,2010-02-11,4532.0
CFSR,pgbh06.gdas.20100211-20100215.grb2.nc.gz,20,20,1,2010-02-11 06:00:00,2010-02-16,4566.0
CFSR,pgbh06.gdas.20100216-20100220.grb2.nc.gz,20,20,1,2010-02-16 06:00:00,2010-02-21,4561.0
CFSR,pgbh06.gdas.20100221-20100225.grb2.nc.gz,20,20,1,2010-02-21 06:00:00,2010-02-26,4521.0
CFSR,pgbh06.gdas.20100301-20100305.grb2.nc.gz,20,20,1,2010-03-01 06:00:00,2010-03-06,4486.0
CFSR,pgbh06.gdas.20100306-20100310.grb2.nc.gz,20,20,1,2010-03-06 06:00:00,2010-03-11,4497.0
CFSR,pgbh06.gdas.20100311-20100315.grb2.nc.gz,20,20,1,2010-03-11 06:00:00,2010-03-16,4492.0
CFSR,pgbh06.gdas.20100316-20100320.grb2.nc.gz,20,20,1,2010-03-16 06:00:00,2010-03-21,4519.0
CFSR,pgbh06.gdas.20100321-20100325.grb2.nc.gz,20,20,1,2010-03-21 06:00:00,2010-03-26,4570.0
CFSR,pgbh06.gdas.20100401-20100405.grb2.nc.gz,20,20,1,2010-04-01 06:00:00,2010-04-06,4557.0
CFSR,pgbh06.gdas.20100406-20100410.grb2.nc.gz,20,20,1,2010-04-06 06:00:00,2010-04-11,4449.0
CFSR,pgbh06.gdas.20100411-20100415.grb2.nc.gz,20,20,1,2010-04-11 06:00:00,2010-04-16,4513.0
CFSR,pgbh06.gdas.20100416-20100420.grb2.nc.gz,20,20,1,2010-04-16 06:00:00,2010-04-21,4474.0
CFSR,pgbh06.gdas.20100421-20100425.grb2.nc.gz,20,20,1,2010-04-21 06:00:00,2010-04-26,4517.0
CFSR,pgbh06.gdas.20100426-20100430.grb2.nc.gz,20,20,1,2010-04-26 06:00:00,2010-05-01,4469.0
CFSR,pgbh06.gdas.20100501-20100505.grb2.nc.gz,20,20,1,2010-05-01 06:00:00,2010-05-06,4499.0
CFSR,pgbh06.gdas.20100506-20100510.grb2.nc.gz,20,20,1,2010-05-06 06:00:00,2010-05-11,4494.0
CFSR,pgbh06.gdas.20100511-20100515.grb2.nc.gz,20,20,1,2010-05-11 06:00:00,2010-05-16,4507.0
CFSR,pgbh06.gdas.20100516-20100520.grb2.nc.gz,20,20,1,2010-05-16 06:00:00,2010-05-21,4534.0
CFSR,pgbh06.gdas.20100521-20100525.grb2.nc.gz,20,20,1,2010-05-21 06:00:00,2010-05-26,4577.0
CFSR,pgbh06.gdas.20100601-20100605.grb2.nc.gz,20,20,1,2010-06-01 06:00:00,2010-06-06,4448.0
CFSR,pgbh06.gdas.20100606-20100610.grb2.nc.gz,20,20,1,2010-06-06 06:00:00,2010-06-11,4428.0
CFSR,pgbh06.gdas.20100611-20100615.grb2.nc.gz,20,20,1,2010-06-11 06:00:00,2010-06-16,4514.0
CFSR,pgbh06.gdas.20100616-20100620.grb2.nc.gz,20,20,1,2010-06-16 06:00:00,2010-06-21,4517.0
CFSR,pgbh06.gdas.20100621-20100625.grb2.nc.gz,20,20,1,2010-06-21 06:00:00,2010-06-26,4542.0
CFSR,pgbh06.gdas.20100626-20100630.grb2.nc.gz,20,20,1,2010-06-26 06:00:00,2010-07-01,4481.0
CFSR,pgbh06.gdas.20100701-20100705.grb2.nc.gz,20,20,1,2010-07-01 06:00:00,2010-07-06,4505.0
CFSR,pgbh06.gdas.20100706-20100710.grb2.nc.gz,20,20,1,2010-07-06 06:00:00,2010-07-11,4488.0
CFSR,pgbh06.gdas.20100711-20100715.grb2.nc.gz,20,20,1,2010-07-11 06:00:00,2010-07-16,4525.0
CFSR,pgbh06.gdas.20100716-20100720.grb2.nc.gz,20,20,1,2010-07-16 06:00:00,2010-07-21,4563.0
CFSR,pgbh06.gdas.20100721-20100725.grb2.nc.gz,20,20,1,2010-07-21 06:00:00,2010-07-26,4547.0
CFSR,pgbh06.gdas.20100801-20100805.grb2.nc.gz,20,20,1,2010-08-01 06:00:00,2010-08-06,4510.0
CFSR,pgbh06.gdas.20100806-20100810.grb2.nc.gz,20,20,1,2010-08-06 06:00:00,2010-08-11,4538.0
CFSR,pgbh06.gdas.20100811-20100815.grb2.nc.gz,20,20,1,2010-08-11 06:00:00,2010-08-16,4485.0
CFSR,pgbh06.gdas.20100816-20100820.grb2.nc.gz,20,20,1,2010-08-16 06:00:00,2010-08-21,4570.0
CFSR,pgbh06.gdas.20100821-20100825.grb2.nc.gz,20,20,1,2010-08-21 06:00:00,2010-08-26,4544.0
CFSR,pgbh06.gdas.20100901-20100905.grb2.nc.gz,20,20,1,2010-09-01 06:00:00,2010-09-06,4595.0
CFSR,pgbh06.gdas.20100906-20100910.grb2.nc.gz,20,20,1,2010-09-06 06:00:00,2010-09-11,4553.0
CFSR,pgbh06.gdas.20100911-20100915.grb2.nc.gz,20,20,1,2010-09-11 06:00:00,2010-09-16,4553.0
CFSR,pgbh06.gdas.20100916-20100920.grb2.nc.gz,20,20,1,2010-09-16 06:00:00,2010-09-21,4523.0
CFSR,pgbh06.gdas.20100921-20100925.grb2.nc.gz,20,20,1,2010-09-21 06:00:00,2010-09-26,4538.0
CFSR,pgbh06.gdas.20100926-20100930.grb2.nc.gz,20,20,1,2010-09-26 06:00:00,2010-10-01,4582.0
CFSR,pgbh06.gdas.20101001-20101005.grb2.nc.gz,20,20,1,2010-10-01 06:00:00,2010-10-06,4591.0
CFSR,pgbh06.gdas.20101006-20101010.grb2.nc.gz,20,20,1,2010-10-06 06:00:00,2010-10-11,4582.0
CFSR,pgbh06.gdas.20101011-20101015.grb2.nc.gz,20,20,1,2010-10-11 06:00:00,2010-10-16,4533.0
CFSR,pgbh06.gdas.20101016-20101020.grb2.nc.gz,20,20,1,2010-10-16 06:00:00,2010-10-21,4512.0
CFSR,pgbh06.gdas.20101021-20101025.grb2.nc.gz,20,20,1,2010-10-21 06:00:00,2010-10-26,4605.0
CFSR,pgbh06.gdas.20101101-20101105.grb2.nc.gz,20,20,1,2010-11-01 06:00:00,2010-11-06,4632.0
