year,adm_2_name,reported_weeks,cases
2009,UCAYALI,3,3
2010,ALTO AMAZONAS,50,471
2010,DATEM DEL MARANON,11,22
2010,LORETO,8,13
2010,MAYNAS,52,800
2010,PUTUMAYO,8,13
2010,REQUENA,3,3
2011,ALTO AMAZONAS,33,784
2011,DATEM DEL MARANON,17,100
2011,LORETO,27,270
2011,MARISCAL RAMON CASTILLA,28,156
2011,MAYNAS,52,19861
2011,PUTUMAYO,3,3
2011,REQUENA,13,54
2011,UCAYALI,8,17
2012,ALTO AMAZONAS,49,601
2012,DATEM DEL MARANON,26,93
2012,LORETO,19,25
2012,MARISCAL RAMON CASTILLA,14,26
2012,MAYNAS,53,3563
2012,PUTUMAYO,7,13
2012,REQUENA,20,57
2012,UCAYALI,21,90
2013,ALTO AMAZONAS,52,686
2013,DATEM DEL MARANON,35,338
2013,LORETO,20,36
2013,MARISCAL RAMON CASTILLA,10,14
2013,MAYNAS,52,3406
2013,REQUENA,16,25
2013,UCAYALI,13,74
2014,ALTO AMAZONAS,47,1985
2014,DATEM DEL MARANON,25,78
2014,LORETO,29,62
2014,MARISCAL RAMON CASTILLA,7,9
2014,MAYNAS,52,4643
2014,PUTUMAYO,3,9
2014,REQUENA,29,52
2014,UCAYALI,13,25
2015,ALTO AMAZONAS,48,534
2015,DATEM DEL MARANON,8,14
2015,LORETO,15,20
2015,MARISCAL RAMON CASTILLA,4,4
2015,MAYNAS,52,1043
2015,PUTUMAYO,1,1
2015,REQUENA,8,10
2015,UCAYALI,4,4
2016,ALTO AMAZONAS,38,137
2016,DATEM DEL MARANON,10,14
2016,LORETO,22,29
2016,MARISCAL RAMON CASTILLA,5,7
2016,MAYNAS,52,1471
2016,PUTUMAYO,2,2
2016,REQUENA,14,26
2017,ALTO AMAZONAS,47,223
2017,DATEM DEL MARANON,13,20
2017,LORETO,11,15
2017,MARISCAL RAMON CASTILLA,9,16
2017,MAYNAS,53,824
2017,PUTUMAYO,1,1
2017,REQUENA,10,26
2017,UCAYALI,1,2
2018,ALTO AMAZONAS,45,556
2018,DATEM DEL MARANON,11,14
2018,LORETO,41,211
2018,MARISCAL RAMON CASTILLA,9,13
2018,MAYNAS,52,856
2018,PUTUMAYO,1,1
2018,REQUENA,23,108
2018,UCAYALI,23,187
2019,ALTO AMAZONAS,48,540
2019,DATEM DEL MARANON,28,117
2019,LORETO,31,307
2019,MARISCAL RAMON CASTILLA,9,13
2019,MAYNAS,52,1266
2019,PUTUMAYO,16,210
2019,REQUENA,23,84
2019,UCAYALI,14,42
2020,ALTO AMAZONAS,48,901
2020,DATEM DEL MARANON,21,95
2020,LORETO,34,281
2020,MARISCAL RAMON CASTILLA,37,299
2020,MAYNAS,52,4853
2020,PUTUMAYO,10,24
2020,REQUENA,36,166
2020,UCAYALI,38,998
2021,ALTO AMAZONAS,52,3084
2021,DATEM DEL MARANON,47,544
2021,LORETO,14,61
2021,MARISCAL RAMON CASTILLA,26,95
2021,MAYNAS,52,722
2021,PUTUMAYO,4,6
2021,REQUENA,18,100
2021,UCAYALI,51,503
2022,ALTO AMAZONAS,52,2963
2022,DATEM DEL MARANON,39,173
2022,LORETO,43,287
2022,MARISCAL RAMON CASTILLA,48,409
2022,MAYNAS,52,3311
2022,PUTUMAYO,26,71
2022,REQUENA,49,870
2022,UCAYALI,52,842
2023,ALTO AMAZONAS,52,2225
2023,DATEM DEL MARANON,47,824
2023,LORETO,37,235
2023,MARISCAL RAMON CASTILLA,40,469
2023,MAYNAS,52,1756
2023,PUTUMAYO,24,229
2023,REQUENA,42,330
2023,UCAYALI,51,514
