adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,23/02/2003,01/03/2003,2003,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,30/03/2003,05/04/2003,2003,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,13/04/2003,19/04/2003,2003,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,01/06/2003,07/06/2003,2003,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,08/06/2003,14/06/2003,2003,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,15/06/2003,21/06/2003,2003,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,29/06/2003,05/07/2003,2003,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,27/07/2003,02/08/2003,2003,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,03/08/2003,09/08/2003,2003,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,10/08/2003,16/08/2003,2003,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,17/08/2003,23/08/2003,2003,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,07/09/2003,13/09/2003,2003,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/09/2003,27/09/2003,2003,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/11/2003,08/11/2003,2003,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,04/01/2004,10/01/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,18/01/2004,24/01/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,25/01/2004,31/01/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,08/02/2004,14/02/2004,2004,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,14/03/2004,20/03/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/03/2004,27/03/2004,2004,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,11/04/2004,17/04/2004,2004,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/05/2004,08/05/2004,2004,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,09/05/2004,15/05/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,20/06/2004,26/06/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,04/07/2004,10/07/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,11/07/2004,17/07/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,08/08/2004,14/08/2004,2004,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,15/08/2004,21/08/2004,2004,5,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,22/08/2004,28/08/2004,2004,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,29/08/2004,04/09/2004,2004,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,05/09/2004,11/09/2004,2004,8,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,12/09/2004,18/09/2004,2004,13,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,19/09/2004,25/09/2004,2004,10,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,26/09/2004,02/10/2004,2004,21,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,03/10/2004,09/10/2004,2004,19,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,10/10/2004,16/10/2004,2004,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,17/10/2004,23/10/2004,2004,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,24/10/2004,30/10/2004,2004,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,31/10/2004,06/11/2004,2004,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,07/11/2004,13/11/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,14/11/2004,20/11/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/11/2004,27/11/2004,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,26/12/2004,01/01/2005,2004,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/01/2005,08/01/2005,2005,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,09/01/2005,15/01/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,16/01/2005,22/01/2005,2005,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,23/01/2005,29/01/2005,2005,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,30/01/2005,05/02/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,06/02/2005,12/02/2005,2005,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,27/02/2005,05/03/2005,2005,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,06/03/2005,12/03/2005,2005,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,13/03/2005,19/03/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,27/03/2005,02/04/2005,2005,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,03/04/2005,09/04/2005,2005,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,10/04/2005,16/04/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,17/04/2005,23/04/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,24/04/2005,30/04/2005,2005,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,01/05/2005,07/05/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,15/05/2005,21/05/2005,2005,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,22/05/2005,28/05/2005,2005,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
