week_start_date,forecast_origin_week_start_date,forecast_horizon_weeks,target_calendar_year,target_calendar_month,target_iso_year,target_iso_week,dengue_cases,week_sin,week_cos,dengue_cases_lag1,dengue_cases_lag2,dengue_cases_lag4,dengue_cases_lag8,dengue_cases_lag12,dengue_cases_prev4w_mean,dengue_cases_prev8w_mean,dengue_cases_prev4w_std,dengue_recent_change_1v4,precip_sum_mm_lag1,precip_sum_mm_lag2,precip_sum_mm_lag4,precip_sum_mm_lag8,precip_sum_mm_lag12,temperature_c_mean_lag1,temperature_c_mean_lag2,temperature_c_mean_lag4,temperature_c_mean_lag8,temperature_c_mean_lag12,relative_humidity_pct_mean_lag1,relative_humidity_pct_mean_lag2,relative_humidity_pct_mean_lag4,relative_humidity_pct_mean_lag8,relative_humidity_pct_mean_lag12,specific_humidity_kgkg_mean_lag1,specific_humidity_kgkg_mean_lag2,specific_humidity_kgkg_mean_lag4,specific_humidity_kgkg_mean_lag8,specific_humidity_kgkg_mean_lag12,wind_speed_ms_mean_lag1,wind_speed_ms_mean_lag2,wind_speed_ms_mean_lag4,wind_speed_ms_mean_lag8,wind_speed_ms_mean_lag12,surface_pressure_hpa_mean_lag1,surface_pressure_hpa_mean_lag2,surface_pressure_hpa_mean_lag4,surface_pressure_hpa_mean_lag8,surface_pressure_hpa_mean_lag12,ndvi_mean_weekly_lag1,ndvi_mean_weekly_lag2,ndvi_mean_weekly_lag4,ndvi_mean_weekly_lag8,ndvi_mean_weekly_lag12,precip_sum_mm_prev4w_sum,precip_sum_mm_prev8w_sum,temperature_c_mean_prev4w_mean,relative_humidity_pct_mean_prev4w_mean,specific_humidity_kgkg_mean_prev4w_mean,wind_speed_ms_mean_prev4w_mean,surface_pressure_hpa_mean_prev4w_mean,ndvi_mean_weekly_prev4w_mean,qa_prev_precip_week_complete,qa_prev_temp_humidity_week_complete,qa_prev_wind_week_complete,qa_prev_pressure_week_complete,qa_prev_low_valid_pixel_coverage,qa_prev_ndvi_available,qa_prev_ndvi_within_age_limit,qa_prev_ndvi_stale,feature_missing_count,all_candidate_features_available,core_features_available
2005-11-27,2005-11-20,1,2005,11,2005,47,36.0,-0.5698052673371348,0.8217797498812296,43.0,64.0,59.0,18.0,6.0,49.5,42.125,14.70827431527352,-16.0,81.6418,76.6581,87.78040000000001,74.1581,18.7798,25.614564723758924,25.63737803867888,24.80053985092669,26.29122662387054,25.089254333160763,90.26002746099957,91.77060446372398,92.29642869613984,73.84642855413666,83.68324176033775,0.0185097541115093,0.0189356112220723,0.0180303777278922,0.0153061318899515,0.016418226658121,0.9778925326786028,0.954580430560382,0.7838298007857066,0.7564542221857076,0.6706908246599804,991.6774725274726,990.865521978022,994.7240384615384,993.828021978022,995.463324175824,0.8295788637016375,0.8295788637016375,0.818728738562597,0.8284854093241673,0.8348705736047786,291.27180000000004,580.815,25.208700647458947,91.96304953229296,0.018451492770979176,0.8558848633417826,992.5381524725275,0.8241538011321172,True,True,True,True,False,True,True,False,0,True,True
2005-12-04,2005-11-27,1,2005,12,2005,48,37.0,-0.4669596620640253,0.8842786178603729,36.0,43.0,32.0,48.0,11.0,43.75,44.375,14.24488212189445,4.0,42.1615,81.6418,45.1915,78.815,9.9887,26.29026326609184,25.614564723758924,24.782319976471307,25.391429875971223,24.3043761787834,78.80851641854088,90.26002746099957,93.52513750830848,86.21730766191588,83.2230769775726,0.0165078475262846,0.0185097541115093,0.0183302280224429,0.0173471785818257,0.015449226666293,1.0916148573562254,0.9778925326786028,0.707236689342439,0.7856381857720365,0.8443955172005974,990.554532967033,991.6774725274726,992.8855769230768,994.2428571428572,997.3537087912088,0.8354460129249358,0.8295788637016375,0.818728738562597,0.8284854093241673,0.8254397371484516,245.65290000000002,548.8184,25.58113150125024,88.59107146289321,0.018070860220577273,0.9328311274844122,991.4957760989012,0.828333119722702,True,True,True,True,False,True,True,False,0,True,True
2005-12-11,2005-12-04,1,2005,12,2005,49,38.0,-0.35735092729884943,0.9339701894378923,37.0,36.0,64.0,45.0,5.0,45.0,43.0,13.038404810405353,-27.0,41.118100000000005,42.1615,76.6581,51.61779999999999,46.70859999999999,25.10792530604774,26.29026326609184,25.63737803867888,24.52923225151316,26.62552590003383,91.42458807767092,78.80851641854088,91.77060446372398,91.37170343084652,73.64038464787242,0.018221457396726,0.0165078475262846,0.0189356112220723,0.0174695576776514,0.0155157252844259,0.8879458193441664,1.0916148573562254,0.954580430560382,0.7051825453148238,0.856235576354748,991.4667582417582,990.554532967033,990.865521978022,993.662087912088,993.6991758241758,0.8354460129249358,0.8354460129249358,0.8295788637016375,0.8369072616292452,0.8254397371484516,241.57950000000002,511.12149999999997,25.662532833644345,88.06593410523384,0.01804366756414805,0.9780084099848442,991.1410714285714,0.8325124383132867,True,True,True,True,False,True,True,False,0,True,True
2005-12-18,2005-12-11,1,2005,12,2005,50,14.0,-0.24256656219175124,0.9701347653323611,38.0,37.0,43.0,28.0,9.0,38.5,42.125,3.1091263510298406,-5.0,112.0844,41.118100000000005,81.6418,84.95230000000001,57.71599999999999,24.721183919382643,25.10792530604774,25.614564723758924,25.8194041996212,26.42396450671523,94.51126372159185,91.42458807767092,90.26002746099957,85.83804964233231,72.06428572633764,0.0185434986328051,0.018221457396726,0.0185097541115093,0.0176778598509442,0.0149762293894437,0.8063025517466365,0.8879458193441664,0.9778925326786028,0.8840519397262956,0.9561762378176536,991.996153846154,991.4667582417582,991.6774725274726,992.9251373626374,994.331043956044,0.8354460129249358,0.8354460129249358,0.8295788637016375,0.8369072616292452,0.8284854093241673,277.0058,571.5881,25.433484303820286,88.75109891970081,0.01794563941683125,0.9409389402814078,991.4237293956044,0.8339792256191112,True,True,True,True,False,True,True,False,0,True,True
2005-12-25,2005-12-18,1,2005,12,2005,51,16.0,-0.1242690262396651,0.9922485621644637,14.0,38.0,36.0,59.0,18.0,31.25,40.375,11.528949070347572,-22.0,54.697100000000006,112.0844,42.1615,87.78040000000001,74.1581,23.72874678727037,24.721183919382643,26.29026326609184,24.80053985092669,26.29122662387054,94.37815957016996,94.51126372159185,78.80851641854088,92.29642869613984,73.84642855413666,0.0173636483614445,0.0185434986328051,0.0165078475262846,0.0180303777278922,0.0153061318899515,0.8271422901984076,0.8063025517466365,1.0916148573562254,0.7838298007857066,0.7564542221857076,993.970054945055,991.996153846154,990.554532967033,994.7240384615384,993.828021978022,0.8437726432701016,0.8354460129249358,0.8354460129249358,0.818728738562597,0.8284854093241673,250.0611,541.3329,24.962029819698152,89.7806319469934,0.01765911297931505,0.9032513796613589,991.996875,0.8375276705112273,True,True,True,True,False,True,True,False,0,True,True
2006-01-01,2005-12-25,1,2006,1,2005,52,46.0,0.0,1.0,16.0,14.0,37.0,32.0,48.0,26.25,35.0,13.022416570411762,-21.0,47.7381,54.697100000000006,41.118100000000005,45.1915,78.815,24.107285736419364,23.72874678727037,25.10792530604774,24.782319976471307,25.391429875971223,83.02101667110738,94.37815957016996,91.42458807767092,93.52513750830848,86.21730766191588,0.0152001565956807,0.0173636483614445,0.018221457396726,0.0183302280224429,0.0173471785818257,1.0531750002795384,0.8271422901984076,0.8879458193441664,0.707236689342439,0.7856381857720365,992.9556318681318,993.970054945055,991.4667582417582,992.8855769230768,994.2428571428572,0.8437726432701016,0.8437726432701016,0.8354460129249358,0.818728738562597,0.8284854093241673,255.6377,501.29060000000004,24.41628543728003,90.83375701013502,0.017332190246664075,0.8936414153921872,992.5971497252747,0.8396093280975188,True,True,True,True,False,True,True,False,0,True,True
2006-01-08,2006-01-01,1,2006,1,2006,1,49.0,0.12012861995484278,0.9927583364886667,46.0,16.0,38.0,64.0,45.0,28.5,36.75,15.947831618540961,8.0,86.40759999999999,47.7381,112.0844,76.6581,51.61779999999999,25.56133649218216,24.107285736419364,24.721183919382643,25.63737803867888,24.52923225151316,80.77898358250711,83.02101667110738,94.51126372159185,91.77060446372398,91.37170343084652,0.0163704340632718,0.0152001565956807,0.0185434986328051,0.0189356112220723,0.0174695576776514,1.439683284507519,1.0531750002795384,0.8063025517466365,0.954580430560382,0.7051825453148238,991.8298076923076,992.9556318681318,991.996153846154,990.865521978022,993.662087912088,0.8540462854175166,0.8437726432701016,0.8354460129249358,0.8295788637016375,0.8369072616292452,300.92719999999997,542.5067,24.529638233813635,88.17235588634408,0.01686943441330053,1.0315757816830253,992.6879120879121,0.8442593962206639,True,True,True,True,False,True,True,False,0,True,True
2006-01-15,2006-01-08,1,2006,1,2006,2,50.0,0.23851737782209795,0.9711382293354899,49.0,46.0,14.0,43.0,28.0,31.25,34.875,18.821530224718753,35.0,87.76839999999999,86.40759999999999,54.697100000000006,81.6418,84.95230000000001,25.02106133764919,25.56133649218216,23.72874678727037,25.614564723758924,25.8194041996212,88.39972532188499,80.77898358250711,94.37815957016996,90.26002746099957,85.83804964233231,0.0173857183883908,0.0163704340632718,0.0173636483614445,0.0185097541115093,0.0176778598509442,1.042915071956885,1.439683284507519,0.8271422901984076,0.9778925326786028,0.8840519397262956,992.628021978022,991.8298076923076,993.970054945055,991.6774725274726,992.9251373626374,0.8540462854175166,0.8540462854175166,0.8437726432701016,0.8295788637016375,0.8369072616292452,276.61119999999994,553.617,24.604607588380272,86.64447128641734,0.01657998935219695,1.0907289117355874,992.8458791208792,0.8489094643438091,True,True,True,True,False,True,True,False,0,True,True
2006-01-22,2006-01-15,1,2006,1,2006,3,79.0,0.3534516105057668,0.9354528096226339,50.0,49.0,16.0,36.0,59.0,40.25,35.75,16.255768207008906,34.0,81.12730000000002,87.76839999999999,47.7381,42.1615,87.78040000000001,23.90096984695605,25.02106133764919,24.107285736419364,26.29026326609184,24.80053985092669,92.85659362981608,88.39972532188499,83.02101667110738,78.80851641854088,92.29642869613984,0.0171922568940547,0.0173857183883908,0.0152001565956807,0.0165078475262846,0.0180303777278922,0.8462759819096833,1.042915071956885,1.0531750002795384,1.0916148573562254,0.7838298007857066,992.935576923077,992.628021978022,992.9556318681318,990.554532967033,994.7240384615384,0.8211219172849021,0.8540462854175166,0.8437726432701016,0.8354460129249358,0.818728738562597,303.0414,553.1025,24.64766335330169,86.26407980132888,0.016537141485349502,1.0955123346634064,992.5872596153846,0.8432467828475092,True,True,True,True,False,True,True,False,0,True,True
2006-01-29,2006-01-22,1,2006,1,2006,4,111.0,0.4632666879277925,0.8862189209537411,79.0,50.0,46.0,37.0,32.0,56.0,41.125,15.42724862054156,33.0,37.2047,81.12730000000002,86.40759999999999,41.118100000000005,45.1915,23.221808649419447,23.90096984695605,25.56133649218216,25.10792530604774,24.782319976471307,96.29381888777344,92.85659362981608,80.77898358250711,91.42458807767092,93.52513750830848,0.0172876648292723,0.0171922568940547,0.0163704340632718,0.018221457396726,0.0183302280224429,0.6900703825375629,0.8462759819096833,1.439683284507519,0.8879458193441664,0.707236689342439,994.2964285714286,992.935576923077,991.8298076923076,991.4667582417582,992.8855769230768,0.8211219172849021,0.8211219172849021,0.8540462854175166,0.8354460129249358,0.818728738562597,292.508,548.1457,24.42629408155171,89.5822803554954,0.0170590185437474,1.0047361802279124,992.9224587912088,0.8375841013512093,True,True,True,True,False,True,True,False,0,True,True
2006-02-05,2006-01-29,1,2006,2,2006,5,114.0,0.5663721224098525,0.8241496338390009,111.0,79.0,49.0,38.0,64.0,72.25,50.375,29.34138147168037,62.0,38.8592,37.2047,87.76839999999999,112.0844,76.6581,23.66225594321452,23.221808649419447,25.02106133764919,24.721183919382643,25.63737803867888,97.11813233448908,96.29381888777344,88.39972532188499,94.51126372159185,91.77060446372398,0.0179096319096081,0.0172876648292723,0.0173857183883908,0.0185434986328051,0.0189356112220723,0.7185543510268216,0.6900703825375629,1.042915071956885,0.8063025517466365,0.954580430560382,993.4412087912089,994.2964285714286,992.628021978022,991.996153846154,990.865521978022,0.8364105191773253,0.8211219172849021,0.8540462854175166,0.8354460129249358,0.8295788637016375,244.95960000000002,545.8868,23.951523944309802,93.66706754349089,0.017443818005331475,0.8244539468577382,993.3253090659341,0.8331751597911615,True,True,True,True,False,True,True,False,0,True,True
2006-02-12,2006-02-05,1,2006,2,2006,6,117.0,0.6612746042265288,0.7501439180617594,114.0,111.0,50.0,14.0,43.0,88.5,59.875,30.1606808057555,64.0,56.8064,38.8592,81.12730000000002,54.697100000000006,81.6418,24.376146899212863,23.66225594321452,23.90096984695605,23.72874678727037,25.614564723758924,89.76112640821017,97.11813233448908,92.85659362981608,94.37815957016996,90.26002746099957,0.0170678200653068,0.0179096319096081,0.0171922568940547,0.0173636483614445,0.0185097541115093,0.9380211631103732,0.7185543510268216,0.8462759819096833,0.8271422901984076,0.9778925326786028,993.5375,993.4412087912089,992.935576923077,993.970054945055,991.6774725274726,0.8364105191773253,0.8364105191773253,0.8211219172849021,0.8437726432701016,0.8295788637016375,213.99760000000003,490.60880000000003,23.79029533470072,94.00741781507219,0.017364343424560474,0.7982304696461102,993.5526785714286,0.8287662182311137,True,True,True,True,False,True,True,False,0,True,True
2006-02-19,2006-02-12,1,2006,2,2006,7,92.0,0.7465996296984081,0.6652736226051653,117.0,114.0,79.0,16.0,36.0,105.25,72.75,17.670597047072334,38.0,14.127299999999998,56.8064,37.2047,47.7381,42.1615,25.00201685978817,24.376146899212863,23.221808649419447,24.107285736419364,26.29026326609184,86.93131881755787,89.76112640821017,96.29381888777344,83.02101667110738,78.80851641854088,0.0171038255627666,0.0170678200653068,0.0172876648292723,0.0152001565956807,0.0165078475262846,0.8267216009107775,0.9380211631103732,0.6900703825375629,1.0531750002795384,1.0916148573562254,993.768543956044,993.5375,994.2964285714286,992.9556318681318,990.554532967033,0.8207733168179256,0.8364105191773253,0.8211219172849021,0.8437726432701016,0.8354460129249358,146.9976,450.039,24.06555708790875,92.52609911200763,0.01734223559173845,0.7933418743963838,993.7609203296704,0.8286790681143696,True,True,True,True,False,True,True,False,0,True,True
2006-02-26,2006-02-19,1,2006,2,2006,8,98.0,0.8211114085783636,0.5707679517128266,92.0,117.0,111.0,46.0,37.0,108.5,82.25,11.269427669584713,-19.0,107.1852,14.127299999999998,38.8592,86.40759999999999,41.118100000000005,24.758609998095192,25.00201685978817,23.66225594321452,25.56133649218216,25.10792530604774,93.54436836661874,86.93131881755787,97.11813233448908,80.77898358250711,91.42458807767092,0.018349751374674,0.0171038255627666,0.0179096319096081,0.0163704340632718,0.018221457396726,0.6600552669687659,0.8267216009107775,0.7185543510268216,1.439683284507519,0.8879458193441664,993.04010989011,993.768543956044,993.4412087912089,991.8298076923076,991.4667582417582,0.8207733168179256,0.8207733168179256,0.8364105191773253,0.8540462854175166,0.8354460129249358,216.97809999999998,509.48609999999996,24.44975742507769,91.83873648171897,0.017607757228088876,0.7858380955041846,993.4468406593408,0.8285919179976255,True,True,True,True,False,True,True,False,0,True,True
2006-03-05,2006-02-26,1,2006,3,2006,9,91.0,0.8837307624058365,0.4679956619217736,98.0,92.0,114.0,49.0,38.0,105.25,88.75,12.14838809609468,-16.0,105.4125,107.1852,56.8064,87.76839999999999,112.0844,24.583054821307865,24.758609998095192,24.376146899212863,25.02106133764919,24.721183919382643,95.8945057942317,93.54436836661874,89.76112640821017,88.39972532188499,94.51126372159185,0.0186347691866743,0.018349751374674,0.0170678200653068,0.0173857183883908,0.0185434986328051,0.6581880494416972,0.6600552669687659,0.9380211631103732,1.042915071956885,0.8063025517466365,993.9373626373626,993.04010989011,993.5375,992.628021978022,991.996153846154,0.8207733168179256,0.8207733168179256,0.8364105191773253,0.8540462854175166,0.8354460129249358,283.53139999999996,528.491,24.679957144601023,91.53282984665462,0.017789041547355423,0.7707465201079035,993.5708791208792,0.8246826174077755,True,True,True,True,False,True,True,False,0,True,True
2006-03-12,2006-03-05,1,2006,3,2006,10,67.0,0.9335507546013952,0.3584452379139183,91.0,98.0,117.0,50.0,14.0,99.5,94.0,12.069244660154514,-26.0,145.7748,105.4125,14.127299999999998,81.12730000000002,54.697100000000006,24.35924720344965,24.583054821307865,25.00201685978817,23.90096984695605,23.72874678727037,95.7142858662448,95.8945057942317,86.93131881755787,92.85659362981608,94.37815957016996,0.0183448502768322,0.0186347691866743,0.0171038255627666,0.0171922568940547,0.0173636483614445,0.7163382412507724,0.6581880494416972,0.8267216009107775,0.8462759819096833,0.8271422901984076,994.126510989011,993.9373626373626,993.768543956044,992.935576923077,993.970054945055,0.7944604353527023,0.8207733168179256,0.8207733168179256,0.8211219172849021,0.8437726432701016,372.4998,586.4974,24.675732220660223,93.02111971116327,0.018108299100236775,0.7153257896430032,993.7181318681319,0.8141950964516198,True,True,True,True,False,True,True,False,0,True,True
2006-03-19,2006-03-12,1,2006,3,2006,11,55.0,0.969849825925805,0.24370333430563806,67.0,91.0,92.0,79.0,16.0,87.0,96.125,13.686976778431932,-25.0,127.7991,145.7748,107.1852,37.2047,47.7381,24.28802932068544,24.35924720344965,24.758609998095192,23.221808649419447,24.107285736419364,93.91662108767164,95.7142858662448,93.54436836661874,96.29381888777344,83.02101667110738,0.0178818186875535,0.0183448502768322,0.018349751374674,0.0172876648292723,0.0152001565956807,0.7688366555215779,0.7163382412507724,0.6600552669687659,0.6900703825375629,1.0531750002795384,993.0622252747252,994.126510989011,993.04010989011,994.2964285714286,992.9556318681318,0.7944604353527023,0.7944604353527023,0.8207733168179256,0.8211219172849021,0.8437726432701016,486.1716,633.1692,24.49723533588454,94.76744527869172,0.0183027973814335,0.7008545532957033,993.5415521978023,0.807616876085314,True,True,True,True,False,True,True,False,0,True,True
2006-03-26,2006-03-19,1,2006,3,2006,12,43.0,0.9921022450584553,0.1254317956100953,55.0,67.0,98.0,111.0,46.0,77.75,93.125,20.155644370746412,-43.0,86.5356,127.7991,105.4125,38.8592,86.40759999999999,24.02559843796953,24.28802932068544,24.583054821307865,23.66225594321452,25.56133649218216,95.94780233928137,93.91662108767164,95.8945057942317,97.11813233448908,80.77898358250711,0.0180722719434505,0.0178818186875535,0.0186347691866743,0.0179096319096081,0.0163704340632718,0.7105872748410764,0.7688366555215779,0.6581880494416972,0.7185543510268216,1.439683284507519,993.3336538461538,993.0622252747252,993.9373626373626,993.4412087912089,991.8298076923076,0.812354395898467,0.7944604353527023,0.8207733168179256,0.8364105191773253,0.8540462854175166,465.522,682.5001,24.31398244585312,95.36830377185737,0.018233427523627624,0.7134875552637809,993.6149381868131,0.8055121458554494,True,True,True,True,False,True,True,False,0,True,True
2006-04-02,2006-03-26,1,2006,4,2006,13,33.0,0.9999857229360024,0.00534358719969123,43.0,55.0,91.0,114.0,49.0,64.0,84.625,20.493901531919235,-48.0,95.3043,86.5356,145.7748,56.8064,87.76839999999999,23.959623961396293,24.02559843796953,24.35924720344965,24.376146899212863,25.02106133764919,94.70192323936212,95.94780233928137,95.7142858662448,89.76112640821017,88.39972532188499,0.0176514203539936,0.0180722719434505,0.0183448502768322,0.0170678200653068,0.0173857183883908,0.5991919724240363,0.7105872748410764,0.7163382412507724,0.9380211631103732,1.042915071956885,994.7894230769232,993.3336538461538,994.126510989011,993.5375,992.628021978022,0.812354395898467,0.812354395898467,0.7944604353527023,0.8364105191773253,0.8540462854175166,455.41380000000004,738.9452,24.15812473087523,95.07015813313998,0.01798759031545745,0.6987385360093658,993.8279532967033,0.8034074156255846,True,True,True,True,False,True,True,False,0,True,True
