week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases
2002-01-06,2002,1,2002,1,Peru,Loreto,Maynas,Probable and confirmed,20
2002-01-13,2002,1,2002,2,Peru,Loreto,Maynas,Probable and confirmed,36
2002-01-20,2002,1,2002,3,Peru,Loreto,Maynas,Probable and confirmed,38
2002-01-27,2002,1,2002,4,Peru,Loreto,Maynas,Probable and confirmed,49
2002-02-03,2002,2,2002,5,Peru,Loreto,Maynas,Probable and confirmed,39
2002-02-10,2002,2,2002,6,Peru,Loreto,Maynas,Probable and confirmed,47
2002-02-17,2002,2,2002,7,Peru,Loreto,Maynas,Probable and confirmed,53
2002-02-24,2002,2,2002,8,Peru,Loreto,Maynas,Probable and confirmed,36
2002-03-03,2002,3,2002,9,Peru,Loreto,Maynas,Probable and confirmed,42
2002-03-10,2002,3,2002,10,Peru,Loreto,Maynas,Probable and confirmed,38
2002-03-17,2002,3,2002,11,Peru,Loreto,Maynas,Probable and confirmed,34
2002-03-24,2002,3,2002,12,Peru,Loreto,Maynas,Probable and confirmed,18
2002-03-31,2002,3,2002,13,Peru,Loreto,Maynas,Probable and confirmed,19
2002-04-07,2002,4,2002,14,Peru,Loreto,Maynas,Probable and confirmed,30
2002-04-14,2002,4,2002,15,Peru,Loreto,Maynas,Probable and confirmed,58
2002-04-21,2002,4,2002,16,Peru,Loreto,Maynas,Probable and confirmed,32
2002-04-28,2002,4,2002,17,Peru,Loreto,Maynas,Probable and confirmed,38
2002-05-05,2002,5,2002,18,Peru,Loreto,Maynas,Probable and confirmed,49
2002-05-12,2002,5,2002,19,Peru,Loreto,Maynas,Probable and confirmed,36
2002-05-19,2002,5,2002,20,Peru,Loreto,Maynas,Probable and confirmed,34
2002-05-26,2002,5,2002,21,Peru,Loreto,Maynas,Probable and confirmed,40
2002-06-02,2002,6,2002,22,Peru,Loreto,Maynas,Probable and confirmed,35
2002-06-09,2002,6,2002,23,Peru,Loreto,Maynas,Probable and confirmed,37
2002-06-16,2002,6,2002,24,Peru,Loreto,Maynas,Probable and confirmed,30
2002-06-23,2002,6,2002,25,Peru,Loreto,Maynas,Probable and confirmed,26
2002-06-30,2002,6,2002,26,Peru,Loreto,Maynas,Probable and confirmed,25
2002-07-07,2002,7,2002,27,Peru,Loreto,Maynas,Probable and confirmed,24
2002-07-14,2002,7,2002,28,Peru,Loreto,Maynas,Probable and confirmed,22
2002-07-21,2002,7,2002,29,Peru,Loreto,Maynas,Probable and confirmed,15
2002-07-28,2002,7,2002,30,Peru,Loreto,Maynas,Probable and confirmed,18
2002-08-04,2002,8,2002,31,Peru,Loreto,Maynas,Probable and confirmed,24
2002-08-11,2002,8,2002,32,Peru,Loreto,Maynas,Probable and confirmed,13
2002-08-18,2002,8,2002,33,Peru,Loreto,Maynas,Probable and confirmed,43
2002-08-25,2002,8,2002,34,Peru,Loreto,Maynas,Probable and confirmed,15
2002-09-01,2002,9,2002,35,Peru,Loreto,Maynas,Probable and confirmed,25
2002-09-08,2002,9,2002,36,Peru,Loreto,Maynas,Probable and confirmed,22
2002-09-15,2002,9,2002,37,Peru,Loreto,Maynas,Probable and confirmed,29
2002-09-22,2002,9,2002,38,Peru,Loreto,Maynas,Probable and confirmed,40
2002-09-29,2002,9,2002,39,Peru,Loreto,Maynas,Probable and confirmed,31
2002-10-06,2002,10,2002,40,Peru,Loreto,Maynas,Probable and confirmed,45
2002-10-13,2002,10,2002,41,Peru,Loreto,Maynas,Probable and confirmed,75
2002-10-20,2002,10,2002,42,Peru,Loreto,Maynas,Probable and confirmed,95
2002-10-27,2002,10,2002,43,Peru,Loreto,Maynas,Probable and confirmed,58
2002-11-03,2002,11,2002,44,Peru,Loreto,Maynas,Probable and confirmed,60
2002-11-10,2002,11,2002,45,Peru,Loreto,Maynas,Probable and confirmed,78
2002-11-17,2002,11,2002,46,Peru,Loreto,Maynas,Probable and confirmed,117
2002-11-24,2002,11,2002,47,Peru,Loreto,Maynas,Probable and confirmed,163
