date,year,month,day_of_year,ndvi_mean,ndvi_median,ndvi_std,ndvi_min,ndvi_max,valid_pixel_count,modis_image_id
2001-03-06,2001,3,65,0.795149858645346,0.8164584084271381,0.11168444161267216,-0.2,0.999,978258,2001_03_06
2001-03-22,2001,3,81,0.8122476752754421,0.8400340000923685,0.12965953547322012,-0.2,0.9992000000000001,553712,2001_03_22
2001-04-07,2001,4,97,0.8169888844403939,0.8399601640117902,0.1150229738066455,-0.2,0.9994000000000001,900824,2001_04_07
2001-04-23,2001,4,113,0.8408955807326706,0.8554244235368635,0.08746505008668498,-0.19970000000000002,0.9994000000000001,891109,2001_04_23
2001-05-09,2001,5,129,0.8019748168726271,0.8555505347501559,0.1571256512769036,-0.2,0.9995,374609,2001_05_09
2001-05-25,2001,5,145,0.826732360083991,0.8555155980636213,0.10405266494286487,-0.2,0.9994000000000001,902746,2001_05_25
2001-06-10,2001,6,161,0.7952246452279155,0.8553827931950869,0.18645744647877777,-0.2,0.9994000000000001,230789,2001_06_10
2001-06-26,2001,6,177,0.8140067205557912,0.8477014884813163,0.11326849264641518,-0.2,0.9993000000000001,696789,2001_06_26
2001-07-12,2001,7,193,0.8293301678158189,0.8477430258224405,0.09819904133222217,-0.2,0.9994000000000001,976877,2001_07_12
2001-07-28,2001,7,209,0.8406918899590518,0.8554633785912942,0.08532796965160255,-0.2,0.9993000000000001,1104895,2001_07_28
2001-08-13,2001,8,225,0.8307573646110238,0.847633209914435,0.09541764169958518,-0.2,0.9988,1197677,2001_08_13
2001-08-29,2001,8,241,0.8507263957714777,0.8710903623293151,0.09007303603840315,-0.2,0.999,1208780,2001_08_29
2001-09-14,2001,9,257,0.8348524406056231,0.8476908603686387,0.09224551389612318,-0.19970000000000002,0.9994000000000001,1098939,2001_09_14
2001-09-30,2001,9,273,0.8307376858113044,0.8398051550349227,0.09035836636323333,-0.2,0.9992000000000001,1210940,2001_09_30
2001-10-16,2001,10,289,0.8396674372785307,0.8710295885057088,0.1163767243629028,-0.2,0.9994000000000001,617042,2001_10_16
2001-11-01,2001,11,305,0.8423076027610392,0.8631145518465076,0.09466406591856599,-0.2,0.9994000000000001,1062844,2001_11_01
2001-11-17,2001,11,321,0.8390126787540092,0.855470903557307,0.106500459459741,-0.2,0.9995,719582,2001_11_17
2001-12-03,2001,12,337,0.8374605967584577,0.8790522268675784,0.13337408880599955,-0.1996,0.9995,218742,2001_12_03
2001-12-19,2001,12,353,0.8415183321963403,0.8632954112436813,0.09791132536417596,-0.2,0.9995,702614,2001_12_19
2002-01-01,2002,1,1,0.8525444521468154,0.8712204496637078,0.09778082631334503,-0.2,0.9995,1211509,2002_01_01
2002-01-17,2002,1,17,0.844158466731431,0.871215002823925,0.09379285797421304,-0.1995,0.9994000000000001,128101,2002_01_17
2002-02-02,2002,2,33,0.8092179872701099,0.8320863227946569,0.10084370523344321,-0.19940000000000002,0.9994000000000001,657386,2002_02_02
2002-02-18,2002,2,49,0.804837690552531,0.8475700542279576,0.16758662920977088,-0.19920000000000002,0.9992000000000001,148215,2002_02_18
2002-03-06,2002,3,65,0.8250010532728059,0.8632993386866255,0.1266245584640017,-0.2,0.9993000000000001,576440,2002_03_06
