week_start_date,week_end_date,surface_pressure_hpa_mean,surface_pressure_hpa_min,surface_pressure_hpa_max,observations_6hourly,complete_week
2015-09-27,2015-10-03,992.6263736263736,989.85,996.3923076923077,28,True
2015-10-04,2015-10-10,994.4953296703296,992.1346153846154,998.3192307692308,28,True
2015-10-11,2015-10-17,994.0483516483516,991.6730769230769,995.7846153846153,28,True
2015-10-18,2015-10-24,994.7907967032968,991.8,998.0461538461539,28,True
2015-10-25,2015-10-31,993.9125,991.4192307692308,997.2884615384615,28,True
2015-11-01,2015-11-07,991.8381868131868,989.5384615384615,994.2346153846153,28,True
2015-11-08,2015-11-14,994.2162087912087,992.3384615384616,997.2192307692308,28,True
2015-11-15,2015-11-21,992.1733516483516,988.3846153846154,995.9730769230769,28,True
2015-11-22,2015-11-28,992.0146978021978,989.4653846153847,994.696153846154,28,True
2015-11-29,2015-12-05,993.9225274725275,989.6538461538461,997.4615384615385,28,True
2015-12-06,2015-12-12,994.5396978021978,991.85,996.9307692307692,28,True
2015-12-13,2015-12-19,993.4800824175825,991.2,996.2538461538461,28,True
2015-12-20,2015-12-26,994.8677197802198,992.803846153846,997.1,28,True
2015-12-27,2016-01-02,994.9381868131868,991.8538461538461,997.6192307692307,28,True
2016-01-03,2016-01-09,993.3528846153847,989.7769230769231,995.7307692307692,28,True
2016-01-10,2016-01-16,992.0197802197802,989.6,994.2807692307692,28,True
2016-01-17,2016-01-23,993.5483516483517,990.2115384615385,995.4807692307692,28,True
2016-01-24,2016-01-30,992.7866758241759,989.8884615384616,995.3307692307692,28,True
2016-01-31,2016-02-06,993.1141483516484,990.7038461538461,994.7538461538461,28,True
2016-02-07,2016-02-13,995.732554945055,993.6076923076923,997.5769230769231,28,True
2016-02-14,2016-02-20,993.3383241758241,990.8769230769232,995.1807692307692,28,True
2016-02-21,2016-02-27,992.651923076923,990.3192307692308,994.7076923076924,28,True
2016-02-28,2016-03-05,993.7391483516484,990.7307692307692,995.0923076923077,28,True
2016-03-06,2016-03-12,993.7590659340659,991.7576923076923,995.3769230769232,28,True
2016-03-13,2016-03-19,995.0237637362637,992.9692307692308,996.0307692307692,28,True
2016-03-20,2016-03-26,995.0206043956043,992.2153846153847,996.7730769230769,28,True
2016-03-27,2016-04-02,995.6428571428571,993.4115384615384,997.3846153846154,28,True
2016-04-03,2016-04-09,994.3839285714286,992.5115384615384,996.4807692307692,28,True
2016-04-10,2016-04-16,993.5271978021977,992.0884615384616,994.7576923076923,28,True
2016-04-17,2016-04-23,995.1324175824176,993.1230769230768,997.25,28,True
2016-04-24,2016-04-30,994.3361263736264,990.1576923076923,998.4961538461539,28,True
2016-05-01,2016-05-07,996.6440934065934,994.4961538461539,998.4384615384615,28,True
2016-05-08,2016-05-14,995.8756868131868,992.95,998.5653846153847,28,True
2016-05-15,2016-05-21,997.4554945054945,995.1076923076923,999.8653846153846,28,True
2016-05-22,2016-05-28,997.9190934065934,994.0346153846153,1000.6038461538461,28,True
2016-05-29,2016-06-04,995.9420329670329,992.9153846153847,999.2884615384615,28,True
2016-06-05,2016-06-11,998.1335164835165,994.8153846153847,1002.0423076923076,28,True
2016-06-12,2016-06-18,1001.1432692307692,998.6,1003.35,28,True
2016-06-19,2016-06-25,999.557554945055,998.0692307692308,1001.1769230769231,28,True
2016-06-26,2016-07-02,999.2072802197802,996.8307692307692,1001.0269230769231,28,True
2016-07-03,2016-07-09,999.4343406593407,997.5307692307692,1000.9576923076924,28,True
2016-07-10,2016-07-16,997.0817307692307,993.2153846153847,1000.053846153846,28,True
2016-07-17,2016-07-23,998.1796703296703,994.6846153846153,999.5384615384615,28,True
2016-07-24,2016-07-30,997.035989010989,994.9,998.2884615384615,28,True
2016-07-31,2016-08-06,997.2056318681318,994.696153846154,998.5076923076923,28,True
2016-08-07,2016-08-13,997.6255494505494,995.5192307692308,999.6769230769231,28,True
2016-08-14,2016-08-20,995.621565934066,993.3615384615384,998.0307692307692,28,True
2016-08-21,2016-08-27,997.4243131868133,993.8461538461539,1001.3961538461539,28,True
2016-08-28,2016-09-03,996.1384615384615,993.25,999.2269230769231,28,True
2016-09-04,2016-09-10,997.3019230769231,993.9192307692308,1000.4538461538461,28,True
2016-09-11,2016-09-17,995.4692307692309,991.4,998.9384615384615,28,True
2016-09-18,2016-09-24,996.148489010989,993.7192307692308,998.3692307692307,28,True
2016-09-25,2016-10-01,994.8469780219781,988.9730769230769,997.9846153846153,28,True
2016-10-02,2016-10-08,992.8951923076922,989.6846153846153,995.9769230769231,28,True
2016-10-09,2016-10-15,993.8028846153846,990.7769230769231,996.5807692307692,28,True
2016-10-16,2016-10-22,993.2317307692308,991.1576923076923,995.5307692307692,28,True
2016-10-23,2016-10-29,992.7302197802198,989.0807692307692,998.4038461538461,28,True
2016-10-30,2016-11-05,993.5729395604395,989.1269230769232,998.3076923076924,28,True
2016-11-06,2016-11-12,993.0293956043955,989.6,997.5615384615385,28,True
2016-11-13,2016-11-19,989.9707417582418,986.5961538461539,994.2115384615385,28,True
2016-11-20,2016-11-26,991.1980769230769,986.8461538461539,993.7115384615385,28,True
2016-11-27,2016-12-03,993.7450549450549,991.3153846153847,996.053846153846,28,True
2016-12-04,2016-12-10,993.4776098901099,991.0,995.4807692307692,28,True
2016-12-11,2016-12-17,994.129532967033,990.9884615384616,996.5384615384615,28,True
2016-12-18,2016-12-24,991.8767857142857,988.4846153846153,994.8307692307692,28,True
2016-12-25,2016-12-31,992.9648351648351,990.3615384615384,995.4269230769231,28,True
2017-01-01,2017-01-07,994.1383241758241,990.4615384615385,996.9807692307692,28,True
2017-01-08,2017-01-14,993.807967032967,991.0846153846153,997.053846153846,28,True
2017-01-15,2017-01-21,992.8967032967032,990.446153846154,995.7076923076924,28,True
2017-01-22,2017-01-28,994.7644230769231,990.7730769230769,997.7576923076923,28,True
