timestamp,source,surface_pressure_pa,surface_pressure_hpa,maynas_grid_cells,source_file
2000-01-06 06:00:00,CFSR,99076.15384615384,990.7615384615384,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-06 12:00:00,CFSR,99285.76923076923,992.8576923076923,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-06 18:00:00,CFSR,99132.69230769231,991.3269230769231,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-07 00:00:00,CFSR,98967.30769230769,989.6730769230769,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-07 06:00:00,CFSR,99121.15384615384,991.2115384615385,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-07 12:00:00,CFSR,99296.53846153847,992.9653846153847,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-07 18:00:00,CFSR,99091.53846153847,990.9153846153847,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-08 00:00:00,CFSR,98933.07692307692,989.3307692307692,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-08 06:00:00,CFSR,99117.30769230769,991.1730769230769,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-08 12:00:00,CFSR,99259.23076923077,992.5923076923077,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-08 18:00:00,CFSR,99048.84615384616,990.4884615384616,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-09 00:00:00,CFSR,98880.76923076923,988.8076923076924,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-09 06:00:00,CFSR,99061.53846153847,990.6153846153846,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-09 12:00:00,CFSR,99259.61538461539,992.5961538461539,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-09 18:00:00,CFSR,99061.15384615384,990.6115384615384,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-10 00:00:00,CFSR,98930.76923076923,989.3076923076924,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-10 06:00:00,CFSR,99113.07692307692,991.1307692307693,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-10 12:00:00,CFSR,99252.30769230769,992.5230769230769,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-10 18:00:00,CFSR,99035.38461538461,990.3538461538461,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-11 00:00:00,CFSR,98888.07692307692,988.8807692307693,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
2000-01-11 06:00:00,CFSR,99134.23076923077,991.3423076923077,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-11 12:00:00,CFSR,99248.46153846153,992.4846153846153,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-11 18:00:00,CFSR,99104.61538461539,991.0461538461539,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-12 00:00:00,CFSR,98886.92307692308,988.8692307692307,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-12 06:00:00,CFSR,99079.23076923077,990.7923076923076,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-12 12:00:00,CFSR,99250.0,992.5,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-12 18:00:00,CFSR,98996.92307692308,989.9692307692308,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
2000-01-13 00:00:00,CFSR,98789.23076923077,987.8923076923077,26,pgbh06.gdas.20000111-20000115.grb2.nc.gz
